Temperature,lx,ly,lz
100,3.5512391666666665,3.5512391666666665,3.5512391666666665
200,3.5539966666666665,3.5539966666666665,3.5539966666666665
300,3.556925833333333,3.556925833333333,3.556925833333333
400,3.5601016666666663,3.5601016666666663,3.5601016666666663
500,3.563545,3.563545,3.563545
600,3.567270833333333,3.567270833333333,3.567270833333333
700,3.571309166666667,3.571309166666667,3.571309166666667
800,3.5756425000000003,3.5756425000000003,3.5756425000000003
900,3.5802324999999997,3.5802324999999997,3.5802324999999997
1000,3.5851449999999994,3.5851449999999994,3.5851449999999994
1200,3.5958616666666674,3.5958616666666674,3.5958616666666674
1400,3.6078175,3.6078175,3.6078175
